drive_mhz,detuning_mhz,excited_population
0.0,-0.15,0.0
0.0,-0.13125,0.0
0.0,-0.11249999999999999,0.0
0.0,-0.09375,0.0
0.0,-0.075,0.0
0.0,-0.056249999999999994,0.0
0.0,-0.037500000000000006,0.0
0.0,-0.01874999999999999,0.0
0.0,0.0,0.0
0.0,0.01874999999999999,0.0
0.0,0.037500000000000006,0.0
0.0,0.056249999999999994,0.0
0.0,0.07499999999999998,0.0
0.0,0.09375,0.0
0.0,0.11250000000000002,0.0
0.0,0.13125,0.0
0.0,0.15,0.0
0.020833333333333332,-0.15,0.010238730911413042
0.020833333333333332,-0.13125,0.019055883504196132
0.020833333333333332,-0.11249999999999999,0.030808017735628284
0.020833333333333332,-0.09375,0.04470098728642441
0.020833333333333332,-0.075,0.05944310780126933
0.020833333333333332,-0.056249999999999994,0.07341837460469385
0.020833333333333332,-0.037500000000000006,0.08493851894769154
0.020833333333333332,-0.01874999999999999,0.09252649659530372
0.020833333333333332,0.0,0.09517493571351057
0.020833333333333332,0.01874999999999999,0.09252649659530372
0.020833333333333332,0.037500000000000006,0.08493851894769154
0.020833333333333332,0.056249999999999994,0.07341837460469385
0.020833333333333332,0.07499999999999998,0.05944310780126934
0.020833333333333332,0.09375,0.04470098728642441
0.020833333333333332,0.11250000000000002,0.030808017735628256
0.020833333333333332,0.13125,0.019055883504196132
0.020833333333333332,0.15,0.010238730911413042
0.041666666666666664,-0.15,0.03448749412635127
0.041666666666666664,-0.13125,0.06558772106819794
0.041666666666666664,-0.11249999999999999,0.1076485796477854
0.041666666666666664,-0.09375,0.15782362953225965
0.041666666666666664,-0.075,0.2113861099338375
0.041666666666666664,-0.056249999999999994,0.2623697987286215
0.041666666666666664,-0.037500000000000006,0.30451138844695164
0.041666666666666664,-0.01874999999999999,0.33231542254479024
0.041666666666666664,0.0,0.34202767912571974
0.041666666666666664,0.01874999999999999,0.33231542254479024
0.041666666666666664,0.037500000000000006,0.30451138844695164
0.041666666666666664,0.056249999999999994,0.2623697987286215
0.041666666666666664,0.07499999999999998,0.21138610993383772
0.041666666666666664,0.09375,0.15782362953225965
0.041666666666666664,0.11250000000000002,0.10764857964778547
0.041666666666666664,0.13125,0.06558772106819794
0.041666666666666664,0.15,0.03448749412635127
0.0625,-0.15,0.057428510545548934
0.0625,-0.13125,0.11350861199230289
0.0625,-0.11249999999999999,0.19151811252779533
0.0625,-0.09375,0.2861720952259673
0.0625,-0.075,0.38834267754794005
0.0625,-0.056249999999999994,0.4863208404605417
0.0625,-0.037500000000000006,0.5677072648449231
0.0625,-0.01874999999999999,0.6215670401422683
0.0625,0.0,0.6404080543680101
0.0625,0.01874999999999999,0.6215670401422683
0.0625,0.037500000000000006,0.5677072648449231
0.0625,0.056249999999999994,0.4863208404605417
0.0625,0.07499999999999998,0.38834267754794005
0.0625,0.09375,0.2861720952259673
0.0625,0.11250000000000002,0.19151811252779483
0.0625,0.13125,0.11350861199230289
0.0625,0.15,0.057428510545548934
0.08333333333333333,-0.15,0.06494885952262512
0.08333333333333333,-0.13125,0.13585015731717037
0.08333333333333333,-0.11249999999999999,0.23960432424851907
0.08333333333333333,-0.09375,0.36920150368940896
0.08333333333333333,-0.075,0.5116803322733371
0.08333333333333333,-0.056249999999999994,0.6499743385525768
0.08333333333333333,-0.037500000000000006,0.7657624063321105
0.08333333333333333,-0.01874999999999999,0.8427589073138572
0.08333333333333333,0.0,0.8697552809861626
0.08333333333333333,0.01874999999999999,0.8427589073138572
0.08333333333333333,0.037500000000000006,0.7657624063321105
0.08333333333333333,0.056249999999999994,0.6499743385525768
0.08333333333333333,0.07499999999999998,0.511680332273338
0.08333333333333333,0.09375,0.36920150368940896
0.08333333333333333,0.11250000000000002,0.23960432424851866
0.08333333333333333,0.13125,0.13585015731717037
0.08333333333333333,0.15,0.06494885952262512
0.10416666666666666,-0.15,0.054655099467348166
0.10416666666666666,-0.13125,0.12076151375094896
0.10416666666666666,-0.11249999999999999,0.2275119274558694
0.10416666666666666,-0.09375,0.3678124864946969
0.10416666666666666,-0.075,0.5268311147010003
0.10416666666666666,-0.056249999999999994,0.6842078053607392
0.10416666666666666,-0.037500000000000006,0.8176263747384259
0.10416666666666666,-0.01874999999999999,0.9070149728072668
0.10416666666666666,0.0,0.9384673561033595
0.10416666666666666,0.01874999999999999,0.9070149728072668
0.10416666666666666,0.037500000000000006,0.8176263747384259
0.10416666666666666,0.056249999999999994,0.6842078053607392
0.10416666666666666,0.07499999999999998,0.5268311147010002
0.10416666666666666,0.09375,0.3678124864946969
0.10416666666666666,0.11250000000000002,0.22751192745586832
0.10416666666666666,0.13125,0.12076151375094896
0.10416666666666666,0.15,0.054655099467348166
0.125,-0.15,0.040766139074905165
0.125,-0.13125,0.0806456676392388
0.125,-0.11249999999999999,0.16342339909442796
0.125,-0.09375,0.2839711677377361
0.125,-0.075,0.42835765760025035
0.125,-0.056249999999999994,0.5760751576366822
0.125,-0.037500000000000006,0.7039058097633382
0.125,-0.01874999999999999,0.7905940464744144
0.125,0.0,0.8212690180665736
0.125,0.01874999999999999,0.7905940464744144
0.125,0.037500000000000006,0.7039058097633382
0.125,0.056249999999999994,0.5760751576366822
0.125,0.07499999999999998,0.42835765760025035
0.125,0.09375,0.2839711677377361
0.125,0.11250000000000002,0.16342339909442857
0.125,0.13125,0.0806456676392388
0.125,0.15,0.040766139074905165
0.14583333333333331,-0.15,0.04984275613731523
0.14583333333333331,-0.13125,0.04914993827449071
0.14583333333333331,-0.11249999999999999,0.08697850560244409
0.14583333333333331,-0.09375,0.16193435160695446
0.14583333333333331,-0.075,0.26372383812555483
0.14583333333333331,-0.056249999999999994,0.3750154167929927
0.14583333333333331,-0.037500000000000006,0.47509201651682736
0.14583333333333331,-0.01874999999999999,0.5444495970456843
0.14583333333333331,0.0,0.5692368067669082
0.14583333333333331,0.01874999999999999,0.5444495970456843
0.14583333333333331,0.037500000000000006,0.47509201651682736
0.14583333333333331,0.056249999999999994,0.3750154167929927
0.14583333333333331,0.07499999999999998,0.2637238381255544
0.14583333333333331,0.09375,0.16193435160695446
0.14583333333333331,0.11250000000000002,0.08697850560244465
0.14583333333333331,0.13125,0.04914993827449071
0.14583333333333331,0.15,0.04984275613731523
0.16666666666666666,-0.15,0.10833880475418693
0.16666666666666666,-0.13125,0.06641582558554444
0.16666666666666666,-0.11249999999999999,0.052534733848854105
0.16666666666666666,-0.09375,0.06989687977027619
0.16666666666666666,-0.075,0.11371943965370736
0.16666666666666666,-0.056249999999999994,0.17241716082068978
0.16666666666666666,-0.037500000000000006,0.23057427214614354
0.16666666666666666,-0.01874999999999999,0.2729423486882009
0.16666666666666666,0.0,0.28841691947873854
0.16666666666666666,0.01874999999999999,0.2729423486882009
0.16666666666666666,0.037500000000000006,0.23057427214614354
0.16666666666666666,0.056249999999999994,0.17241716082068978
0.16666666666666666,0.07499999999999998,0.1137194396537077
0.16666666666666666,0.09375,0.06989687977027619
0.16666666666666666,0.11250000000000002,0.052534733848853966
0.16666666666666666,0.13125,0.06641582558554444
0.16666666666666666,0.15,0.10833880475418693
0.1875,-0.15,0.22735154726406945
0.1875,-0.13125,0.15878697333179104
0.1875,-0.11249999999999999,0.103737042453805
0.1875,-0.09375,0.06960712819615414
0.1875,-0.075,0.0575808364702556
0.1875,-0.056249999999999994,0.06295507724559542
0.1875,-0.037500000000000006,0.0771136825590404
0.1875,-0.01874999999999999,0.09053116497756204
0.1875,0.0,0.09591073831069209
0.1875,0.01874999999999999,0.09053116497756204
0.1875,0.037500000000000006,0.0771136825590404
0.1875,0.056249999999999994,0.06295507724559542
0.1875,0.07499999999999998,0.05758083647025586
0.1875,0.09375,0.06960712819615414
0.1875,0.11250000000000002,0.1037370424538056
0.1875,0.13125,0.15878697333179104
0.1875,0.15,0.22735154726406945
0.20833333333333331,-0.15,0.39204978811056246
0.20833333333333331,-0.13125,0.3223690610582277
0.20833333333333331,-0.11249999999999999,0.2507148052869464
0.20833333333333331,-0.09375,0.18710729572197193
0.20833333333333331,-0.075,0.13762396131632348
0.20833333333333331,-0.056249999999999994,0.10390823493820196
0.20833333333333331,-0.037500000000000006,0.08403996056235932
0.20833333333333331,-0.01874999999999999,0.07435998241972287
0.20833333333333331,0.0,0.0715682861282157
0.20833333333333331,0.01874999999999999,0.07435998241972287
0.20833333333333331,0.037500000000000006,0.08403996056235932
0.20833333333333331,0.056249999999999994,0.10390823493820196
0.20833333333333331,0.07499999999999998,0.137623961316322
0.20833333333333331,0.09375,0.18710729572197193
0.20833333333333331,0.11250000000000002,0.25071480528694695
0.20833333333333331,0.13125,0.3223690610582277
0.20833333333333331,0.15,0.39204978811056246
0.22916666666666666,-0.15,0.5618844562026761
0.22916666666666666,-0.13125,0.5188184489323696
0.22916666666666666,-0.11249999999999999,0.46067037410305584
0.22916666666666666,-0.09375,0.3977308189853378
0.22916666666666666,-0.075,0.33872444552999187
0.22916666666666666,-0.056249999999999994,0.28968861552892394
0.22916666666666666,-0.037500000000000006,0.25385591225003007
0.22916666666666666,-0.01874999999999999,0.23234285492793447
0.22916666666666666,0.0,0.22520489866560875
0.22916666666666666,0.01874999999999999,0.23234285492793447
0.22916666666666666,0.037500000000000006,0.25385591225003007
0.22916666666666666,0.056249999999999994,0.28968861552892394
0.22916666666666666,0.07499999999999998,0.33872444552999253
0.22916666666666666,0.09375,0.3977308189853378
0.22916666666666666,0.11250000000000002,0.4606703741030551
0.22916666666666666,0.13125,0.5188184489323696
0.22916666666666666,0.15,0.5618844562026761
0.25,-0.15,0.6832218222782455
0.25,-0.13125,0.6867481946967382
0.25,-0.11249999999999999,0.6671953658974235
0.25,-0.09375,0.6327100697372202
0.25,-0.075,0.5919363670167361
0.25,-0.056249999999999994,0.5525784333853871
0.25,-0.037500000000000006,0.5205835767680707
0.25,-0.01874999999999999,0.49993150414456405
0.25,0.0,0.4928174793461569
0.25,0.01874999999999999,0.49993150414456405
0.25,0.037500000000000006,0.5205835767680707
0.25,0.056249999999999994,0.5525784333853871
0.25,0.07499999999999998,0.5919363670167351
0.25,0.09375,0.6327100697372202
0.25,0.11250000000000002,0.6671953658974238
0.25,0.13125,0.6867481946967382
0.25,0.15,0.6832218222782455
