experiment_index,kind,time_us,signal,reference,synthetic_measurement,wilson_low95,wilson_high95
0,relaxation,0.0,1.0,1.0,1.0,0.9925530242771171,0.9999999999999999
0,relaxation,0.5,0.991701292638876,0.991701292638876,0.99609375,0.985870592855346,0.9989281109196064
0,relaxation,1.0,0.9834714538216175,0.9834714538216175,0.974609375,0.9570473392668004,0.9851026017462445
0,relaxation,1.5,0.9753099120283326,0.9753099120283326,0.962890625,0.9427707550251679,0.976116224481382
0,relaxation,2.0,0.9672161004820059,0.9672161004820059,0.955078125,0.9334960572612445,0.9698822812409755
0,relaxation,2.5,0.9591894571091382,0.9591894571091382,0.95703125,0.9358001975831783,0.9714553011701242
0,relaxation,3.0,0.951229424500714,0.951229424500714,0.9609375,0.9404368991207068,0.9745729201347606
0,relaxation,3.5,0.9433354498734922,0.9433354498734922,0.9453125,0.9220969712394934,0.9618955660073142
0,relaxation,4.0,0.9355069850316178,0.9355069850316178,0.939453125,0.915340639807479,0.957020416686081
0,relaxation,4.5,0.927743486328553,0.9277434863285529,0.921875,0.8953621180192555,0.9421044962145622
0,relaxation,5.0,0.9200444146293233,0.9200444146293233,0.923828125,0.8975633728664396,0.9437804016184606
0,relaxation,5.5,0.9124092352730778,0.9124092352730778,0.923828125,0.8975633728664396,0.9437804016184606
0,relaxation,6.0,0.9048374180359595,0.9048374180359595,0.904296875,0.8757213408880494,0.9268508310860258
0,relaxation,6.5,0.8973284370942841,0.8973284370942841,0.923828125,0.8975633728664396,0.9437804016184606
0,relaxation,7.0,0.8898817709880239,0.8898817709880238,0.884765625,0.8541970418460828,0.9096035276171676
0,relaxation,7.5,0.8824969025845955,0.8824969025845955,0.873046875,0.8414051435005794,0.899132464456176
0,relaxation,8.0,0.8751733190429475,0.8751733190429475,0.87890625,0.8477906572251377,0.9043784314848653
0,relaxation,8.5,0.8679105117779464,0.8679105117779464,0.841796875,0.8076567590928229,0.8708462848466129
0,relaxation,9.0,0.8607079764250578,0.8607079764250578,0.859375,0.8265802029933275,0.8868172832058506
0,relaxation,9.5,0.853565212805321,0.853565212805321,0.84765625,0.8139486337000743,0.8761858909926088
0,relaxation,10.0,0.8464817248906141,0.8464817248906141,0.869140625,0.8371591247862454,0.8956241626683451
0,relaxation,10.5,0.8394570207692075,0.8394570207692074,0.83984375,0.8055628302469452,0.869063053441408
0,relaxation,11.0,0.8324906126116027,0.8324906126116027,0.82421875,0.7888685481260529,0.8547400535536402
0,relaxation,11.5,0.8255820166366561,0.8255820166366561,0.84765625,0.8139486337000743,0.8761858909926088
0,relaxation,12.0,0.8187307530779818,0.8187307530779818,0.814453125,0.7784830650129315,0.8457397354113492
0,relaxation,12.5,0.8119363461506349,0.8119363461506349,0.80859375,0.7722684811774388,0.8403228384935945
0,relaxation,13.0,0.8051983240180705,0.8051983240180706,0.79296875,0.755753822741615,0.8258202149207585
0,relaxation,13.5,0.798516218759377,0.7985162187593771,0.806640625,0.7701996390145233,0.8385145204054275
0,relaxation,14.0,0.7918895663367815,0.7918895663367816,0.796875,0.7598748962512072,0.8294534619133311
0,relaxation,14.5,0.7853179065634251,0.7853179065634253,0.771484375,0.7331726774291983,0.8057525974712677
0,relaxation,15.0,0.7788007830714047,0.7788007830714049,0.779296875,0.7413678902658999,0.8130660256388961
0,relaxation,15.5,0.7723377432800808,0.772337743280081,0.77734375,0.7393174041291233,0.8112393515245901
0,relaxation,16.0,0.7659283383646485,0.7659283383646487,0.787109375,0.7495813388571546,0.8203612180519713
0,relaxation,16.5,0.7595721232249683,0.7595721232249685,0.763671875,0.7249950433577201,0.798421590538416
0,relaxation,17.0,0.7532686564546567,0.7532686564546568,0.779296875,0.7413678902658999,0.8130660256388961
0,relaxation,17.5,0.7470175003104325,0.7470175003104326,0.732421875,0.6924489815710526,0.7689330883077636
0,relaxation,18.0,0.7408182206817178,0.7408182206817179,0.73046875,0.6904231293083547,0.767081780319379
0,relaxation,18.5,0.7346703870604916,0.7346703870604917,0.72265625,0.6823289804919732,0.7596672881314306
0,relaxation,19.0,0.7285735725113929,0.728573572511393,0.708984375,0.6681989605831526,0.7466571862826736
0,relaxation,19.5,0.7225273536420722,0.7225273536420722,0.7109375,0.6702148838921917,0.7485184232247171
0,relaxation,20.0,0.7165313105737893,0.7165313105737893,0.751953125,0.7127602505721561,0.7873934218174851
0,relaxation,20.5,0.7105850269122547,0.7105850269122547,0.73046875,0.6904231293083547,0.767081780319379
0,relaxation,21.0,0.7046880897187134,0.7046880897187134,0.693359375,0.6521024640647736,0.7317364007923929
0,relaxation,21.5,0.6988400894812683,0.6988400894812683,0.6875,0.6460801256647815,0.7261272584391376
0,relaxation,22.0,0.6930406200864415,0.6930406200864415,0.70703125,0.6661839068195801,0.7447950797951639
0,relaxation,22.5,0.6872892787909722,0.6872892787909722,0.671875,0.6300562921389914,0.7111338099562676
0,relaxation,23.0,0.681585666193848,0.6815856661938479,0.705078125,0.664169717535809,0.7429321088278524
0,relaxation,23.5,0.6759293862085685,0.6759293862085684,0.6953125,0.6541115676165162,0.7336044574917328
0,relaxation,24.0,0.6703200460356393,0.6703200460356393,0.6328125,0.5902137891286587,0.6734331079449505
0,relaxation,24.5,0.6647572561352943,0.6647572561352943,0.642578125,0.6001462477523658,0.6828864505766559
0,relaxation,25.0,0.6592406302004438,0.6592406302004438,0.642578125,0.6001462477523658,0.6828864505766559
0,relaxation,25.5,0.6537697851298473,0.6537697851298473,0.671875,0.6300562921389914,0.7111338099562676
0,relaxation,26.0,0.6483443410015097,0.6483443410015097,0.6484375,0.6061145993456434,0.6885495797366259
